stop_id,count
11029,190
11052,140
10070,119
10642,107
10159,94
10782,93
10653,86
11027,70
60291,59
60294,49
10075,47
60521,44
10157,41
10073,40
60297,40
60293,37
10071,36
10783,36
10785,36
60295,35
10072,34
60292,33
10780,32
60299,29
10779,27
10781,27
10076,27
10784,26
60296,25
11030,24
60290,19
10787,19
60298,18
10786,14
60684,13
60400,13
11028,12
60396,11
10671,9
60300,8
60397,7
60523,6
60408,6
60404,6
60393,6
60685,6
10672,6
60524,5
10156,5
60390,5
10590,5
10651,5
60519,4
60426,4
10824,4
60303,4
60520,4
10670,3
10589,3
60527,2
60510,2
60518,2
60529,1
60531,1
20441,1
60522,1
10562,1
60516,1
60430,1
10669,1
10657,1
60399,1
10652,1
60391,1
60435,1
