stop_id,count
61117,603
60127,298
60140,285
60105,284
61254,189
60138,188
61118,170
61116,139
60144,127
61253,118
60146,102
60148,100
61115,80
60132,67
60674,66
60151,64
60155,62
60239,61
60150,57
60156,55
60153,50
60096,48
60129,47
60147,46
60131,43
60718,42
60149,42
10599,40
60243,40
10068,39
60245,37
10840,36
60154,35
60251,34
60240,34
60246,32
60152,29
60260,27
10086,27
60249,24
60250,24
60242,23
60128,23
10078,22
60253,21
60118,21
60247,21
60097,20
10172,20
10598,16
60126,15
10619,14
60237,14
10072,14
60248,14
10070,13
60120,13
10073,13
10085,13
10595,13
60257,13
10080,12
10185,11
10083,11
10079,11
61113,11
61114,11
60123,11
10171,11
10081,10
10077,10
60125,10
10600,10
10704,9
10607,9
61120,9
60121,8
10075,8
60115,7
60130,7
10071,7
60117,7
10186,7
10808,7
10076,7
60259,6
60116,5
10596,5
61119,3
10617,3
10648,2
10082,2
10066,2
10646,1
10618,1
60119,1
10614,1
