stop_id,count
10641,376
10159,285
10638,275
10642,202
10639,172
50262,169
50207,168
10624,99
50269,96
50267,96
50266,85
50265,83
50264,80
50270,80
50268,76
50271,70
50275,54
50281,54
10158,50
50272,47
50283,44
50274,41
50549,41
50284,38
50277,33
10583,32
50273,32
50541,29
50538,29
10620,26
50276,24
50279,22
50544,22
50543,21
50539,20
50542,19
10625,18
50550,17
50547,16
50278,16
50536,16
50548,15
50546,14
50545,12
50535,11
10644,11
50280,10
10643,9
50540,8
50615,8
10582,8
50532,7
50537,7
50533,6
50534,4
50523,4
50528,4
50524,4
10580,3
10541,2
50527,2
10581,2
50525,2
50521,2
50529,2
10543,2
10542,2
50530,1
10546,1
50417,1
50408,1
50410,1
50413,1
50484,1
50517,1
50526,1
50665,1
