stop_id,count
10631,651
10629,481
10840,396
10630,330
30096,275
30092,243
10632,239
30094,206
10599,204
10619,188
10171,188
30097,174
10633,174
30095,171
30089,160
10634,148
10600,147
10598,137
10628,132
10595,128
10704,126
30083,122
30091,122
30913,107
30077,98
30085,95
30087,90
30088,90
10596,86
10638,79
30086,65
10068,65
10611,62
30076,62
10635,57
30081,51
10636,50
30071,49
30080,48
10607,46
30075,44
30073,43
30074,38
30416,38
10627,32
10186,29
10172,25
10150,23
10617,22
10149,19
30057,18
10147,14
10185,13
30413,13
10145,12
30222,11
30062,11
10618,10
10615,10
30054,10
10614,9
10148,9
30402,9
30414,9
10703,8
30055,7
10066,7
10143,7
10616,7
30051,7
10612,6
30224,6
30411,6
30420,5
30013,5
30046,4
30225,4
10141,4
30015,4
10127,3
30226,3
30042,3
30045,3
60372,2
30056,2
30399,2
10130,2
30401,2
10128,2
30417,2
60316,2
10125,2
30223,2
30187,2
60375,2
60475,2
30048,2
30047,2
30044,2
30043,2
60692,2
30801,2
10146,2
10142,2
30139,2
60376,2
60378,1
60383,1
60370,1
30802,1
60319,1
60371,1
60317,1
60377,1
60315,1
60311,1
60384,1
30398,1
30792,1
30748,1
30041,1
30038,1
30037,1
30034,1
30025,1
10144,1
30186,1
30219,1
30393,1
30395,1
10129,1
30412,1
10126,1
30418,1
30534,1
60780,1
