,support,itemsets
310,0.0015159171298635675,18 10629 To Garden City Centre
96,0.0015159171298635675,11 10573 Via Rothesay
95,0.0015159171298635675,11 10573 Via Glenway
509,0.0015159171298635675,36 10205 To U of Manitoba
776,0.0015159171298635675,60 60246 To University of Manitoba
870,0.0015159171298635675,672 60057 Prairie Pointe
676,0.0012632642748863063,49 10710 To North Transcona
885,0.0012632642748863063,672 60083 University of Manitoba
780,0.0012632642748863063,60 60674 To Downtown
955,0.0012632642748863063,75 60107 To Kildonan Place
1048,0.0012632642748863063,90 40308 To North Transcona
763,0.0012632642748863063,60 60148 To University of Manitoba
874,0.0012632642748863063,672 60064 Prairie Pointe
666,0.0012632642748863063,47 60239 To University of Manitoba
876,0.0012632642748863063,672 60075 University of Manitoba
766,0.0012632642748863063,60 60151 To Downtown
670,0.0012632642748863063,47 60246 To University of Manitoba
27,0.0012632642748863063,11 10548 To Polo Park
1064,0.0012632642748863063,BLUE 10612 to St. Norbert
966,0.0012632642748863063,75 60114 To Kildonan Place
60,0.0012632642748863063,11 10563 Via Glenway
55,0.0012632642748863063,11 10562 Via Donwood
28,0.0012632642748863063,11 10548 Via Crestview
877,0.0012632642748863063,672 60076 University of Manitoba
1082,0.0012632642748863063,BLUE 11028 to St. Norbert
32,0.0012632642748863063,11 10549 Via Westwood
736,0.0012632642748863063,60 60097 To University of Manitoba
74,0.0012632642748863063,11 10566 Via Glenway
537,0.0012632642748863063,36 61254 To The Maples
521,0.0012632642748863063,36 10817 To U of Manitoba
747,0.0012632642748863063,60 60125 To University of Manitoba
824,0.0012632642748863063,662 60051 University of Manitoba
630,0.0012632642748863063,47 60105 Via Regent
528,0.0012632642748863063,36 60103 To The Maples
627,0.0012632642748863063,47 60103 Via Kildare
873,0.0012632642748863063,672 60063 University of Manitoba
1102,0.0012632642748863063,BLUE 60069 To Downtown
622,0.0012632642748863063,47 40470 To University of Manitoba
533,0.0012632642748863063,36 60251 To U of Manitoba
892,0.0012632642748863063,672 60158 University of Manitoba
132,0.0012632642748863063,11 10629 Via Rothesay
1025,0.0012632642748863063,78 60114 University of Manitoba
830,0.0012632642748863063,662 60078 University of Manitoba
1133,0.0012632642748863063,BLUE 61205 to St. Norbert
760,0.0012632642748863063,60 60144 To Downtown
1096,0.0012632642748863063,BLUE 11033 to St. Norbert
646,0.0012632642748863063,47 60144 To University of Manitoba
106,0.0012632642748863063,11 10576 Via Glenway
975,0.0012632642748863063,75 60910 To University of Manitoba
741,0.0012632642748863063,60 60118 To University of Manitoba
1130,0.0012632642748863063,BLUE 61205 To Downtown
933,0.0012632642748863063,75 50401 To University of Manitoba
961,0.001010611419909045,75 60111 To Kildonan Place
782,0.001010611419909045,60 61113 To University of Manitoba
669,0.001010611419909045,47 60244 To University of Manitoba
783,0.001010611419909045,60 61114 To Downtown
703,0.001010611419909045,54 50588 To Downtown
508,0.001010611419909045,36 10197 To U of Manitoba
505,0.001010611419909045,36 10102 To U of Manitoba
813,0.001010611419909045,66 60523 To Unicity
254,0.001010611419909045,15 10482 To Inkster
834,0.001010611419909045,662 60084 University of Manitoba
823,0.001010611419909045,662 60050 University of Manitoba
973,0.001010611419909045,75 60721 To University of Manitoba
389,0.001010611419909045,21 10548 To Grace Hospital
701,0.001010611419909045,54 50586 To Downtown
904,0.001010611419909045,672 61253 Prairie Pointe
818,0.001010611419909045,662 60041 University of Manitoba
974,0.001010611419909045,75 60910 To Kildonan Place
561,0.001010611419909045,44 10629 To Kildonan Place via Louelda
560,0.001010611419909045,44 10629 To Kildonan Place via London
821,0.001010611419909045,662 60046 University of Manitoba
744,0.001010611419909045,60 60120 To University of Manitoba
1058,0.001010611419909045,BLUE 10157 University of Manitoba
166,0.001010611419909045,11 40443 To Polo Park
81,0.001010611419909045,11 10568 Via Glenway
1129,0.001010611419909045,BLUE 61204 to St. Norbert
938,0.001010611419909045,75 50405 To University of Manitoba
375,0.001010611419909045,19 10770 Via Notre Dame
668,0.001010611419909045,47 60243 To University of Manitoba
631,0.001010611419909045,47 60107 Via Regent
1128,0.001010611419909045,BLUE 61204 University of Manitoba
144,0.001010611419909045,11 10714 Via Glenway
740,0.001010611419909045,60 60117 To University of Manitoba
152,0.001010611419909045,11 30098 To Polo Park
345,0.001010611419909045,18 30416 To Corydon & Edgeland
658,0.001010611419909045,47 60153 Via Kildare
1088,0.001010611419909045,BLUE 11031 To Downtown
654,0.001010611419909045,47 60151 To University of Manitoba
1142,0.001010611419909045,BLUE 61209 To Downtown
1062,0.001010611419909045,BLUE 10611 University of Manitoba
774,0.001010611419909045,60 60243 To University of Manitoba
639,0.001010611419909045,47 60112 To University of Manitoba
772,0.001010611419909045,60 60239 To University of Manitoba
451,0.001010611419909045,24 20181 To Downtown
956,0.001010611419909045,75 60108 Speers- Elizabeth
926,0.001010611419909045,74 61254 Polo Park
1146,0.001010611419909045,BLUE 61210 University of Manitoba
1144,0.001010611419909045,BLUE 61209 to St. Norbert
1076,0.001010611419909045,BLUE 10642 University of Manitoba
667,0.001010611419909045,47 60242 To University of Manitoba
1060,0.001010611419909045,BLUE 10159 University of Manitoba
57,0.001010611419909045,11 10562 Via Rothesay
985,0.0007579585649317837,77 10372 To Kildonan Place
499,0.0007579585649317837,35 30500 Amber Trails
374,0.0007579585649317837,19 10769 Via Notre Dame
462,0.0007579585649317837,24 20198 To Unicity
503,0.0007579585649317837,36 10094 To U of Manitoba
500,0.0007579585649317837,36 10087 To The Maples
416,0.0007579585649317837,22 10545 To St.Charles
902,0.0007579585649317837,672 61249 University of Manitoba
272,0.0007579585649317837,15 11039 Airport Via Flight Rd.
866,0.0007579585649317837,672 60050 University of Manitoba
833,0.0007579585649317837,662 60081 University of Manitoba
361,0.0007579585649317837,19 10490 Via Drake
362,0.0007579585649317837,19 10491 Via Notre Dame
925,0.0007579585649317837,74 61120 University of Manitoba
944,0.0007579585649317837,75 50633 To University of Manitoba
342,0.0007579585649317837,18 30097 To Garden City Centre
341,0.0007579585649317837,18 30095 To Garden City Centre
313,0.0007579585649317837,18 10632 To Garden City Centre
315,0.0007579585649317837,18 10633 To Garden City Centre
382,0.0007579585649317837,21 10545 To Grace Hospital
884,0.0007579585649317837,672 60082 University of Manitoba
947,0.0007579585649317837,75 50824 To University of Manitoba
971,0.0007579585649317837,75 60673 Speers- Elizabeth
295,0.0007579585649317837,17 10759 via Amber Trails
886,0.0007579585649317837,672 60085 University of Manitoba
332,0.0007579585649317837,18 30087 To Garden City Centre
334,0.0007579585649317837,18 30089 To Garden City Centre
976,0.0007579585649317837,75 60911 Speers- Elizabeth
847,0.0007579585649317837,671 60072 University of Manitoba
423,0.0007579585649317837,24 10549 To Unicity
858,0.0007579585649317837,671 60680 University of Manitoba
339,0.0007579585649317837,18 30094 To Corydon & Edgeland
978,0.0007579585649317837,75 61253 Speers- Elizabeth
422,0.0007579585649317837,24 10548 To Unicity
466,0.0007579585649317837,28 10406 To Downtown
893,0.0007579585649317837,672 60160 University of Manitoba
710,0.0007579585649317837,55 10159 Via Meadowood
787,0.0007579585649317837,60 61117 To Downtown
757,0.0007579585649317837,60 60138 To Downtown
84,0.0007579585649317837,11 10569 Via Glenway
765,0.0007579585649317837,60 60150 To Downtown
165,0.0007579585649317837,11 40437 To Polo Park
173,0.0007579585649317837,14 10498 Via Dakota
1072,0.0007579585649317837,BLUE 10639 University of Manitoba
1071,0.0007579585649317837,BLUE 10625 to St. Norbert
86,0.0007579585649317837,11 10570 Via Glenway
653,0.0007579585649317837,47 60150 To University of Manitoba
775,0.0007579585649317837,60 60244 To University of Manitoba
156,0.0007579585649317837,11 30099 Via Rothesay
739,0.0007579585649317837,60 60116 To University of Manitoba
591,0.0007579585649317837,47 10641 To University of Manitoba
659,0.0007579585649317837,47 60153 Via Regent
738,0.0007579585649317837,60 60115 To University of Manitoba
61,0.0007579585649317837,11 10563 Via Rothesay
410,0.0007579585649317837,21 20288 To Downtown
788,0.0007579585649317837,60 61118 To Downtown
764,0.0007579585649317837,60 60149 To Downtown
94,0.0007579585649317837,11 10572 Via Rothesay
53,0.0007579585649317837,11 10561 Via Rothesay
642,0.0007579585649317837,47 60114 To University of Manitoba
749,0.0007579585649317837,60 60127 To Downtown
114,0.0007579585649317837,11 10579 To Polo Park
637,0.0007579585649317837,47 60111 To University of Manitoba
624,0.0007579585649317837,47 40768 To University of Manitoba
623,0.0007579585649317837,47 40756 To University of Manitoba
1116,0.0007579585649317837,BLUE 60124 To Downtown
620,0.0007579585649317837,47 40448 To University of Manitoba
135,0.0007579585649317837,11 10634 Via Glenway
762,0.0007579585649317837,60 60147 To Downtown
1120,0.0007579585649317837,BLUE 60736 To Downtown
613,0.0007579585649317837,47 40322 To University of Manitoba
102,0.0007579585649317837,11 10575 Via Glenway
513,0.0007579585649317837,36 10422 To U of Manitoba
140,0.0007579585649317837,11 10637 Via Glenway
143,0.0007579585649317837,11 10712 Via Rothesay
648,0.0007579585649317837,47 60146 To University of Manitoba
59,0.0007579585649317837,11 10563 Via Donwood
64,0.0007579585649317837,11 10564 Via Donwood
1045,0.0007579585649317837,90 40272 To Henderson & Whellams
1027,0.0007579585649317837,78 60141 Polo Park
515,0.0007579585649317837,36 10429 To U of Manitoba
828,0.0007579585649317837,662 60076 University of Manitoba
255,0.0007579585649317837,15 10483 To Church
253,0.0007579585649317837,15 10482 To Church
826,0.0007579585649317837,662 60074 University of Manitoba
825,0.0007579585649317837,662 60052 University of Manitoba
822,0.0007579585649317837,662 60048 University of Manitoba
18,0.0007579585649317837,11 10546 Via Crestview
1017,0.0007579585649317837,78 60107 Polo Park
1019,0.0007579585649317837,78 60108 Polo Park
