Pass-Up ID,Time,Route Number,Route Destination,stop_id
3840271,2023-12-17 18:47:25,77,To Garden City Centre,10372
3840263,2023-12-17 18:39:04,77,To Garden City Centre,10367
3839872,2023-12-16 18:52:37,77,To Kildonan Place,30383
3839850,2023-12-16 18:19:46,77,To Kildonan Place,30818
3839849,2023-12-16 18:14:30,77,To Kildonan Place,20020
3839842,2023-12-16 18:05:37,77,To Kildonan Place,10374
3839841,2023-12-16 18:05:09,77,To Kildonan Place,20007
3838496,2023-12-14 18:05:15,77,To Polo Park,40290
3837559,2023-12-13 15:31:46,77,To Polo Park,30872
3837086,2023-12-12 19:08:39,77,To Polo Park,40200
3837037,2023-12-12 17:27:40,77,To Polo Park,20005
3836986,2023-12-12 16:44:54,77,To Kildonan Place,20010
3836355,2023-12-11 16:48:29,77,To Kildonan Place,20525
3835752,2023-12-10 17:20:11,77,To Kildonan Place,20525
3835421,2023-12-09 17:40:13,77,To Kildonan Place,10369
3833349,2023-12-06 17:18:30,77,To Kildonan Place,10367
3833218,2023-12-06 15:26:00,77,To Kildonan Place,20039
3831852,2023-12-04 17:27:14,77,To Kildonan Place,10367
3831165,2023-12-03 18:25:36,77,Whellams Lane,20033
3831164,2023-12-03 18:22:48,77,Whellams Lane,20011
3831162,2023-12-03 18:21:44,77,Whellams Lane,10373
3831161,2023-12-03 18:21:20,77,Whellams Lane,20525
3831154,2023-12-03 18:17:56,77,Whellams Lane,20004
3831152,2023-12-03 18:17:00,77,Whellams Lane,20003
3830012,2023-12-01 16:24:32,77,To Polo Park,30363
3829969,2023-12-01 15:54:51,77,To Kildonan Place,30403
3829927,2023-12-01 15:40:47,77,To Polo Park,40292
3829912,2023-12-01 15:31:06,77,To Polo Park,20435
3829323,2023-11-30 17:26:13,77,To Kildonan Place,10367
3828459,2023-11-29 17:31:29,77,To Kildonan Place,10366
3828193,2023-11-29 15:23:50,77,To Kildonan Place,20038
3827480,2023-11-28 17:11:27,77,To Polo Park,20006
3826699,2023-11-27 18:21:18,77,To Polo Park,30363
3826670,2023-11-27 17:22:48,77,To Kildonan Place,40524
3826506,2023-11-27 15:30:28,77,To Kildonan Place,20016
3826122,2023-11-27 07:34:34,77,To Polo Park,30812
3826121,2023-11-27 07:34:27,77,To Polo Park,30812
3826120,2023-11-27 07:33:36,77,To Polo Park,30810
3826042,2023-11-26 18:18:13,77,Whellams Lane,10374
3825114,2023-11-24 21:14:40,77,To Kildonan Place,10369
3824945,2023-11-24 17:02:50,77,To Kildonan Place,20525
3824938,2023-11-24 16:59:26,77,To Kildonan Place,20021
3824935,2023-11-24 16:57:13,77,To Polo Park,40207
3824905,2023-11-24 16:36:22,77,To Kildonan Place,20435
3824904,2023-11-24 16:35:59,77,To Kildonan Place,20004
3824878,2023-11-24 16:13:32,77,To Kildonan Place,11023
3824817,2023-11-24 15:36:55,77,To Polo Park,20030
3824816,2023-11-24 15:36:28,77,To Kildonan Place,20015
3824785,2023-11-24 15:20:06,77,To Kildonan Place,30880
