Pass-Up ID,Time,Route Number,Route Destination,stop_id
3837873,2023-12-14 07:35:04,59,To Downtown,50538
3828632,2023-11-30 07:37:12,59,To Downtown,50536
3827432,2023-11-28 16:45:15,59,Aldgate,10639
3827346,2023-11-28 15:55:46,59,Island Lakes,50262
3821883,2023-11-21 07:28:02,59,To Downtown,50525
3821565,2023-11-20 15:50:43,59,Island Lakes,10639
3813550,2023-11-09 15:45:19,59,Island Lakes,10582
3813108,2023-11-09 08:23:13,59,To Downtown,50536
3812357,2023-11-08 08:12:43,59,To Downtown,50536
3812161,2023-11-07 17:37:02,59,Aldgate,50207
3812122,2023-11-07 17:08:00,59,Island Lakes,10638
3807810,2023-11-01 15:49:27,59,Island Lakes,10638
3807099,2023-10-31 16:53:17,59,Island Lakes,10624
3806985,2023-10-31 15:56:31,59,Island Lakes,10642
3806526,2023-10-31 07:56:40,59,To Downtown,50537
3802141,2023-10-24 16:35:09,59,Aldgate,50262
3783097,2023-10-04 08:13:23,59,To Downtown,50615
3782661,2023-10-03 15:48:45,59,Island Lakes,10638
3777534,2023-09-27 17:02:29,59,Island Lakes,10641
3777485,2023-09-27 16:41:45,59,Aldgate,10641
3776246,2023-09-26 16:42:39,59,Aldgate,10638
3769088,2023-09-19 16:37:31,59,Island Lakes,10641
3762918,2023-09-13 16:48:59,59,Aldgate,10638
3762891,2023-09-13 16:30:43,59,Island Lakes,10638
3756543,2023-09-07 16:55:44,59,Aldgate,10159
3755647,2023-09-07 07:53:14,59,To Downtown,50785
3754018,2023-09-05 15:53:28,59,Island Lakes,10642
3676699,2023-06-20 16:55:11,59,Aldgate,10638
3671823,2023-06-15 17:35:33,59,Island Lakes,50262
3670564,2023-06-14 16:31:49,59,Aldgate,10639
3663300,2023-06-07 17:26:07,59,Aldgate,10159
3663165,2023-06-07 16:15:15,59,Island Lakes,10159
3647806,2023-05-23 08:29:39,59,To Downtown,10639
3642100,2023-05-17 08:29:24,59,To Downtown,50538
3635731,2023-05-10 16:58:57,59,Island Lakes,10639
3581773,2023-02-14 16:53:02,59,Aldgate,50207
3580719,2023-02-13 08:08:04,59,To Downtown,50534
3579174,2023-02-09 16:20:11,59,Island Lakes,10158
3544945,2022-11-17 16:50:06,59,Island Lakes,10159
3529387,2022-10-25 07:56:18,59,To Downtown,50615
3440975,2022-07-12 16:14:22,59,Island Lakes,50518
3108532,2020-03-11 07:35:05,59,To Downtown,50538
3108312,2020-03-10 16:09:36,59,Island Lakes,10642
3105791,2020-03-05 16:11:51,59,Island Lakes,10641
3104852,2020-03-04 08:37:04,59,To Downtown,50538
3104045,2020-03-03 07:35:29,59,To Downtown,50538
3103483,2020-03-02 07:49:45,59,To Downtown,50536
3101036,2020-02-26 16:48:20,59,Island Lakes,10642
3093585,2020-02-11 16:16:13,59,Aldgate,10159
3092957,2020-02-10 16:11:04,59,Island Lakes,10641
3090832,2020-02-05 16:57:35,59,Island Lakes,50262
3090756,2020-02-05 16:09:13,59,Island Lakes,10642
3087157,2020-01-29 16:39:39,59,Island Lakes,10639
3087156,2020-01-29 16:37:32,59,Island Lakes,10638
3086486,2020-01-28 17:20:12,59,Aldgate,10159
3086403,2020-01-28 16:13:17,59,Island Lakes,50262
3085912,2020-01-27 16:35:23,59,Aldgate,10159
3083665,2020-01-22 16:21:16,59,Aldgate,50207
3083106,2020-01-21 16:46:30,59,Aldgate,10624
3083092,2020-01-21 16:39:05,59,Island Lakes,10638
3083090,2020-01-21 16:36:38,59,Island Lakes,10638
3082571,2020-01-20 17:32:09,59,Aldgate,10644
3082084,2020-01-20 07:23:30,59,To Downtown,50538
3081022,2020-01-16 08:04:05,59,To Downtown,50534
3080918,2020-01-15 17:13:15,59,Island Lakes,10641
3080446,2020-01-14 16:58:25,59,Island Lakes,10638
3079971,2020-01-14 08:09:59,59,To Downtown,50538
3078875,2020-01-10 17:02:32,59,Aldgate,50262
3078827,2020-01-10 16:15:01,59,Island Lakes,10639
3078448,2020-01-09 17:54:45,59,Aldgate,10642
3078332,2020-01-09 16:30:02,59,Aldgate,10641
3078299,2020-01-09 16:15:13,59,Island Lakes,10641
3077995,2020-01-09 07:57:20,59,To Downtown,50530
