Pass-Up ID,Time,Route Number,Route Destination,stop_id
3553157,2022-12-05 09:11:14,78,University of Manitoba,60114
3548782,2022-11-25 14:40:19,78,Polo Park,60141
3548754,2022-11-25 14:04:04,78,Polo Park,60141
3544404,2022-11-16 15:45:55,78,Polo Park,60372
3543817,2022-11-15 14:48:52,78,Polo Park,60194
3538096,2022-11-04 14:34:59,78,Polo Park,60103
3537715,2022-11-04 09:09:07,78,University of Manitoba,60111
3537303,2022-11-03 14:40:05,78,Polo Park,60113
3536216,2022-11-02 09:09:42,78,University of Manitoba,60114
3536215,2022-11-02 09:09:37,78,University of Manitoba,60114
3534308,2022-10-31 09:09:06,78,University of Manitoba,60139
3531246,2022-10-27 13:04:02,78,Polo Park,60103
3529656,2022-10-25 13:03:35,78,Polo Park,61253
3524019,2022-10-18 13:03:26,78,Polo Park,60103
3523252,2022-10-17 14:35:56,78,Polo Park,60105
3521148,2022-10-14 14:35:34,78,Polo Park,60105
3520436,2022-10-13 14:36:32,78,Polo Park,60103
3520379,2022-10-13 13:02:22,78,Polo Park,61254
3520246,2022-10-13 09:46:58,78,University of Manitoba,60139
3519710,2022-10-12 14:35:04,78,Polo Park,60673
3516855,2022-10-08 17:09:13,78,University of Manitoba,20200
3514010,2022-10-05 14:34:59,78,Polo Park,60105
3513603,2022-10-05 09:07:51,78,University of Manitoba,60114
3511531,2022-10-03 09:11:09,78,University of Manitoba,60111
3508818,2022-09-29 16:23:28,78,Polo Park,60730
3508813,2022-09-29 16:21:48,78,Polo Park,60215
3508497,2022-09-29 13:07:11,78,Polo Park,60105
3507540,2022-09-28 14:35:17,78,Polo Park,60105
3506495,2022-09-27 14:38:01,78,Polo Park,60105
3505474,2022-09-26 14:38:18,78,Polo Park,60105
3505155,2022-09-26 09:12:10,78,University of Manitoba,60113
3503419,2022-09-23 14:33:04,78,Polo Park,60105
3502686,2022-09-22 16:17:26,78,Polo Park,60141
3502394,2022-09-22 13:13:52,78,Polo Park,60105
3501594,2022-09-21 15:06:11,78,Polo Park,60194
3501593,2022-09-21 15:06:03,78,Polo Park,60194
3501552,2022-09-21 14:36:38,78,Polo Park,60108
3501550,2022-09-21 14:34:40,78,Polo Park,61253
3501549,2022-09-21 14:34:34,78,Polo Park,61253
3501172,2022-09-21 09:07:01,78,University of Manitoba,60141
3501142,2022-09-21 08:42:54,78,University of Manitoba,60207
3500702,2022-09-20 16:20:53,78,Polo Park,60211
3500697,2022-09-20 16:20:02,78,Polo Park,60205
3500693,2022-09-20 16:18:40,78,Polo Park,60204
3500692,2022-09-20 16:18:15,78,Polo Park,60199
3500554,2022-09-20 14:54:25,78,Polo Park,60809
3500415,2022-09-20 13:08:35,78,Polo Park,60105
3497780,2022-09-16 14:42:42,78,Polo Park,60107
3497541,2022-09-16 09:12:08,78,University of Manitoba,60111
3497108,2022-09-15 16:05:17,78,Polo Park,60107
3497105,2022-09-15 16:03:54,78,Polo Park,60103
3496987,2022-09-15 14:40:32,78,Polo Park,60105
3496187,2022-09-14 16:15:44,78,Polo Park,60208
3496185,2022-09-14 16:15:16,78,Polo Park,60205
3496041,2022-09-14 14:56:42,78,Polo Park,60114
3496034,2022-09-14 14:51:32,78,Polo Park,60103
3496008,2022-09-14 14:34:52,78,Polo Park,60105
3495727,2022-09-14 09:14:56,78,University of Manitoba,60112
3495677,2022-09-14 08:37:50,78,University of Manitoba,60212
3495184,2022-09-13 16:05:28,78,Polo Park,60103
3495013,2022-09-13 14:36:46,78,Polo Park,60105
3494676,2022-09-13 09:48:45,78,University of Manitoba,60113
3494548,2022-09-13 08:08:36,78,University of Manitoba,60107
3494166,2022-09-12 16:23:27,78,Polo Park,60211
3493999,2022-09-12 14:41:40,78,Polo Park,60105
3493647,2022-09-12 09:06:06,78,University of Manitoba,60114
3491580,2022-09-09 14:48:06,78,Polo Park,60105
3491563,2022-09-09 14:35:27,78,Polo Park,60103
3491506,2022-09-09 13:56:13,78,Polo Park,60108
3490679,2022-09-08 14:39:53,78,Polo Park,60105
3489836,2022-09-07 14:56:56,78,Polo Park,60108
3489818,2022-09-07 14:46:54,78,Polo Park,60107
