Pass-Up ID,Time,Route Number,Route Destination,stop_id
3836368,2023-12-11 16:54:14,32,To Riverbend,10631
3827397,2023-11-28 16:22:42,32,To Riverbend,10627
3816262,2023-11-14 07:30:00,32,To Downtown,30077
3813639,2023-11-09 16:46:43,32,Via Leila,10629
3813581,2023-11-09 15:58:19,32,To Riverbend,10631
3812799,2023-11-08 16:04:22,32,To Riverbend,30092
3812090,2023-11-07 16:49:09,32,To Riverbend,10634
3810613,2023-11-06 07:30:00,32,To Downtown,10631
3807865,2023-11-01 16:26:22,32,To Riverbend,10631
3806600,2023-10-31 08:48:44,32,To Downtown,30077
3805857,2023-10-30 07:52:41,32,To Downtown,30029
3802453,2023-10-25 07:53:32,32,To Downtown,30033
3796221,2023-10-18 16:33:20,32,To Riverbend,10629
3790374,2023-10-12 16:08:33,32,To Riverbend,30092
3784838,2023-10-06 07:50:46,32,To Downtown,30802
3783696,2023-10-04 16:38:28,32,To Riverbend,30076
3777831,2023-09-28 07:31:24,32,To Downtown,30071
3777558,2023-09-27 17:15:04,32,Via Leila,30071
3777466,2023-09-27 16:34:45,32,To Riverbend,10629
3774281,2023-09-25 07:27:06,32,To Downtown,30043
3770838,2023-09-21 07:27:37,32,To Downtown,30043
3770463,2023-09-20 16:44:01,32,To Riverbend,10632
3763258,2023-09-14 07:27:18,32,To Downtown,30037
3763257,2023-09-14 07:27:14,32,To Downtown,30037
3762100,2023-09-13 07:52:07,32,To Downtown,30016
3760739,2023-09-12 07:27:57,32,To Downtown,30043
3759591,2023-09-11 07:29:14,32,To Downtown,30071
3756639,2023-09-07 17:45:38,32,To Riverbend,10632
3704901,2023-07-18 16:51:37,32,To Downtown,30031
3663212,2023-06-07 16:37:18,32,To Riverbend,30091
3662279,2023-06-06 16:34:17,32,Via Leila,10632
3656490,2023-05-31 16:48:09,32,To Riverbend,30092
3656479,2023-05-31 16:42:36,32,To Riverbend,10629
3629387,2023-05-03 17:24:08,32,To Riverbend,30091
3629316,2023-05-03 16:38:31,32,To Riverbend,30071
3618508,2023-04-20 07:59:50,32,To Downtown,30071
3579746,2023-02-10 16:50:49,32,Via Leila,10629
3578689,2023-02-08 16:22:57,32,To Riverbend,30077
3569491,2023-01-17 16:54:53,32,Via Leila,10631
3557551,2022-12-15 08:30:21,32,To Downtown,30034
3541368,2022-11-09 16:17:42,32,To Riverbend,10632
3434510,2022-07-04 16:02:36,32,To Riverbend,30076
3415615,2022-06-09 17:21:00,32,Via Leila,30076
3198010,2021-01-28 06:35:09,32,To Downtown,30062
3138144,2020-07-08 16:10:39,32,Via Leila,10634
3112549,2020-03-23 16:08:37,32,To Riverbend,10634
3109252,2020-03-12 07:21:54,32,To Downtown,30034
3108322,2020-03-10 16:13:12,32,To Riverbend,10632
3107872,2020-03-10 07:54:48,32,To Downtown,10632
3107697,2020-03-09 16:26:30,32,Via Leila,10631
3103894,2020-03-02 16:18:37,32,To Riverbend,10629
3101132,2020-02-26 17:41:35,32,To Riverbend,10632
3100999,2020-02-26 16:31:53,32,To Riverbend,10629
3100307,2020-02-25 16:59:45,32,Via Leila,10629
3099750,2020-02-25 07:50:29,32,To Downtown,30071
3091349,2020-02-06 16:37:54,32,Via Leila,10634
3090833,2020-02-05 16:59:44,32,To Riverbend,10632
3090827,2020-02-05 16:55:37,32,To Riverbend,10627
3090758,2020-02-05 16:12:33,32,To Riverbend,30076
3090340,2020-02-05 07:24:52,32,To Downtown,30091
3090229,2020-02-04 17:17:53,32,Via Leila,10631
3087175,2020-01-29 16:49:56,32,To Riverbend,10632
3084222,2020-01-23 16:13:07,32,To Riverbend,10634
3083884,2020-01-23 08:51:06,32,To Downtown,30077
3083671,2020-01-22 16:25:53,32,Via Leila,10632
3083085,2020-01-21 16:32:18,32,Via Leila,10632
3083048,2020-01-21 16:09:49,32,To Riverbend,10629
3083034,2020-01-21 15:59:31,32,To Riverbend,30062
3082523,2020-01-20 16:55:42,32,To Riverbend,10629
3081688,2020-01-17 16:35:42,32,Via Leila,10636
3081655,2020-01-17 16:11:36,32,To Riverbend,10631
3081016,2020-01-16 07:55:48,32,To Downtown,30091
3079953,2020-01-14 07:54:38,32,To Downtown,30071
3077881,2020-01-08 16:25:47,32,Via Leila,10632
3077862,2020-01-08 16:07:33,32,To Riverbend,10634
3077423,2020-01-07 16:40:16,32,Via Leila,10631
3076905,2020-01-06 17:13:32,32,Via Leila,10631
3068459,2019-12-17 16:50:34,32,To Riverbend,10629
3068448,2019-12-17 16:40:06,32,Via Leila,10631
3067897,2019-12-16 16:12:22,32,To Riverbend,10634
3066731,2019-12-13 17:12:38,32,To Riverbend,10634
3066704,2019-12-13 16:58:38,32,Via Leila,10629
3066660,2019-12-13 16:34:36,32,Via Leila,10628
3065486,2019-12-11 16:59:51,32,To Riverbend,10631
3064925,2019-12-10 16:25:48,32,To Riverbend,10632
3062596,2019-12-05 15:39:54,32,Via Leila,10629
3062168,2019-12-05 08:10:02,32,To Downtown,30091
3061224,2019-12-03 17:10:57,32,Via Leila,30076
3061178,2019-12-03 16:35:30,32,Via Leila,10632
3060563,2019-12-02 17:24:26,32,To Riverbend,10629
3060480,2019-12-02 16:16:10,32,Via Leila,10629
3057919,2019-11-28 15:54:43,32,To Riverbend,30092
3057375,2019-11-28 07:59:10,32,To Downtown,10632
3057230,2019-11-27 17:22:24,32,To Riverbend,10631
3056395,2019-11-26 16:56:39,32,To Riverbend,10629
3055685,2019-11-25 17:20:18,32,To Riverbend,10631
3055568,2019-11-25 15:47:17,32,To Riverbend,10629
3053271,2019-11-21 15:26:40,32,Via Leila,10631
3052834,2019-11-21 07:52:50,32,To Downtown,30071
