Pass-Up ID,Time,Route Number,Route Destination,stop_id
3832770,2023-12-06 07:54:59,48,To Downtown,40890
3826146,2023-11-27 07:56:15,48,To Downtown,40894
3821908,2023-11-21 07:53:16,48,To Downtown,40894
3804221,2023-10-27 08:00:21,48,To Downtown,40904
3634598,2023-05-09 16:37:42,48,To North Transcona,10363
3578834,2023-02-09 07:43:03,48,To Downtown,40448
3577173,2023-02-06 07:55:12,48,To Downtown,40894
3571999,2023-01-23 08:05:53,48,To Downtown,40447
3569103,2023-01-17 07:56:01,48,To Downtown,40890
3565146,2023-01-09 07:57:37,48,To Downtown,40890
3089706,2020-02-04 06:56:44,48,To Downtown,40914
3078341,2020-01-09 16:37:16,48,To North Transcona,10631
3078339,2020-01-09 16:36:04,48,To North Transcona,10631
3052497,2019-11-20 16:24:56,48,To North Transcona,10629
3046773,2019-11-12 08:04:22,48,To Downtown,40448
3025063,2019-10-10 16:32:44,48,To North Transcona,10628
2930227,2019-06-24 16:22:57,48,To North Transcona,10363
2868070,2019-04-10 16:43:56,48,To North Transcona,10631
2868068,2019-04-10 16:43:34,48,To North Transcona,10629
2868067,2019-04-10 16:43:33,48,To North Transcona,10629
2868063,2019-04-10 16:43:28,48,To North Transcona,10629
2863768,2019-04-04 16:22:01,48,To North Transcona,10629
2853486,2019-03-20 16:21:09,48,To North Transcona,10634
2845905,2019-03-07 16:20:14,48,To North Transcona,10631
2829000,2019-01-28 16:24:49,48,To North Transcona,10629
2827528,2019-01-24 07:40:23,48,To Downtown,40448
2827338,2019-01-23 16:22:31,48,To North Transcona,10629
2821380,2019-01-10 16:23:36,48,To North Transcona,10629
2820269,2019-01-08 16:21:45,48,To North Transcona,10636
2819484,2019-01-07 08:14:20,48,To Downtown,40196
2808748,2018-12-13 16:19:36,48,To North Transcona,10628
2804113,2018-12-06 07:27:38,48,To Downtown,40114
2797534,2018-11-26 16:18:02,48,To North Transcona,10634
2795102,2018-11-22 16:50:34,48,To North Transcona,10629
2793380,2018-11-20 16:35:28,48,To North Transcona,10629
2792415,2018-11-19 16:19:42,48,To North Transcona,10363
2790868,2018-11-16 16:20:40,48,To North Transcona,10631
2789172,2018-11-14 07:32:52,48,To Downtown,40186
2788437,2018-11-13 07:39:52,48,To Downtown,40448
2788433,2018-11-13 07:33:14,48,To Downtown,40186
2786380,2018-11-09 07:31:57,48,To Downtown,40186
2786092,2018-11-08 16:15:58,48,To North Transcona,10629
2785541,2018-11-08 07:41:24,48,To Downtown,40448
2785529,2018-11-08 07:33:40,48,To Downtown,40186
2783468,2018-11-05 16:15:39,48,To North Transcona,10628
2780135,2018-11-01 07:33:29,48,To Downtown,40186
2779683,2018-10-31 16:23:03,48,To North Transcona,10631
2778888,2018-10-31 07:33:01,48,To Downtown,40186
2777649,2018-10-30 07:33:46,48,To Downtown,40195
2777316,2018-10-29 16:18:51,48,To North Transcona,10629
2766448,2018-10-17 16:17:47,48,To North Transcona,10629
2765445,2018-10-16 16:18:08,48,To North Transcona,10629
2764595,2018-10-15 17:08:48,48,To North Transcona,10631
2763816,2018-10-15 07:34:48,48,To Downtown,40195
2760929,2018-10-11 07:33:10,48,To Downtown,40186
2759991,2018-10-10 07:40:04,48,To Downtown,40196
2756747,2018-10-05 07:33:29,48,To Downtown,40186
2755460,2018-10-03 16:19:42,48,To North Transcona,10629
2753409,2018-10-01 16:24:16,48,To North Transcona,10634
2753406,2018-10-01 16:22:26,48,To North Transcona,10628
2753405,2018-10-01 16:22:16,48,To North Transcona,10628
2749219,2018-09-27 07:27:58,48,To Downtown,40195
2748014,2018-09-26 07:34:40,48,To Downtown,40195
2747674,2018-09-25 16:22:42,48,To North Transcona,10629
2746850,2018-09-25 07:34:58,48,To Downtown,40186
2746545,2018-09-24 16:15:36,48,To North Transcona,10635
2743355,2018-09-20 16:24:35,48,To North Transcona,10634
2740773,2018-09-18 16:17:59,48,To North Transcona,10629
2739534,2018-09-17 16:19:56,48,To North Transcona,10634
2735210,2018-09-13 07:33:20,48,To Downtown,40186
2734867,2018-09-12 16:20:29,48,To North Transcona,10629
2733591,2018-09-11 16:26:08,48,To North Transcona,10363
2731450,2018-09-10 07:32:41,48,To Downtown,40196
2722626,2018-08-30 16:24:39,48,To North Transcona,10631
2722622,2018-08-30 16:23:19,48,To North Transcona,10634
2716613,2018-08-24 16:48:29,48,To North Transcona,10628
2713453,2018-08-21 16:22:16,48,To North Transcona,10363
2693918,2018-07-30 16:50:35,48,To North Transcona,10629
2675380,2018-07-10 16:52:24,48,To North Transcona,10634
2637604,2018-05-30 16:20:52,48,To North Transcona,10628
2635485,2018-05-28 16:18:30,48,To North Transcona,10629
2626248,2018-05-17 16:26:50,48,To North Transcona,10629
2625413,2018-05-16 16:26:02,48,To North Transcona,10363
2620467,2018-05-10 16:46:56,48,To North Transcona,10628
2617743,2018-05-07 16:34:30,48,To North Transcona,10628
2614780,2018-05-03 16:58:47,48,To North Transcona,10628
2614735,2018-05-03 16:30:39,48,To North Transcona,10628
2613960,2018-05-02 17:15:00,48,To North Transcona,10629
2613014,2018-05-01 16:39:00,48,To North Transcona,10628
2609098,2018-04-26 16:20:32,48,To North Transcona,10634
2556146,2018-01-26 15:52:58,48,To North Transcona,10634
2547480,2018-01-10 16:21:09,48,To North Transcona,10629
2546032,2018-01-08 16:25:45,48,To North Transcona,10363
2527930,2017-11-30 16:20:43,48,To North Transcona,10631
2525297,2017-11-27 16:20:19,48,To North Transcona,10631
2522712,2017-11-23 16:22:48,48,To North Transcona,10629
2514701,2017-11-10 16:53:23,48,To North Transcona,10363
2511428,2017-11-06 16:23:00,48,To North Transcona,10629
2507030,2017-10-31 16:24:28,48,To North Transcona,10628
2501215,2017-10-25 08:24:00,48,To Downtown,40912
2488172,2017-10-11 16:22:18,48,To North Transcona,10631
2487020,2017-10-10 16:29:01,48,To North Transcona,10628
2479292,2017-10-02 16:26:04,48,To North Transcona,10631
2468216,2017-09-21 16:46:08,48,To North Transcona,10629
2461081,2017-09-14 16:25:19,48,To North Transcona,10631
2458379,2017-09-12 16:19:49,48,To North Transcona,10628
