Pass-Up ID,Time,Route Number,Route Destination,stop_id
3812346,2023-11-08 08:07:45,34,To Downtown,30491
3760790,2023-09-12 08:05:05,34,To Downtown,30491
3755691,2023-09-07 08:10:18,34,To Downtown,10789
3101078,2020-02-26 17:11:15,34,To The Maples,10533
3099840,2020-02-25 09:24:30,34,To Downtown,30500
3093210,2020-02-11 09:22:07,34,To Downtown,30439
3089828,2020-02-04 09:29:15,34,To Downtown,10302
3089712,2020-02-04 07:34:30,34,To Downtown,10417
3086465,2020-01-28 16:54:02,34,To The Maples,10417
3083256,2020-01-22 08:07:11,34,To Downtown,10426
3080589,2020-01-15 08:00:17,34,To Downtown,30467
3078389,2020-01-09 17:02:07,34,To The Maples,10295
3076382,2020-01-06 08:01:27,34,To Downtown,30491
3052587,2019-11-20 17:04:24,34,To The Maples,10533
3052468,2019-11-20 16:14:38,34,To The Maples,10417
3051858,2019-11-20 08:04:06,34,To Downtown,10423
3047413,2019-11-13 07:56:32,34,To Downtown,30491
3046777,2019-11-12 08:09:13,34,To Downtown,10426
3043646,2019-11-06 08:09:36,34,To Downtown,10423
3042026,2019-11-04 07:55:41,34,To Downtown,30467
3037321,2019-10-29 08:55:28,34,To Downtown,30491
3036507,2019-10-28 08:09:59,34,To Downtown,10422
3025124,2019-10-10 17:17:45,34,To The Maples,10535
3025027,2019-10-10 16:10:17,34,To The Maples,10423
3022687,2019-10-08 07:54:56,34,To Downtown,30467
3022672,2019-10-08 07:39:20,34,To Downtown,10302
3021629,2019-10-07 07:55:37,34,To Downtown,30491
3011623,2019-09-25 08:37:01,34,To Downtown,30439
3006267,2019-09-19 07:33:00,34,To Downtown,30491
3004128,2019-09-17 07:54:34,34,To Downtown,30467
3000648,2019-09-12 17:07:27,34,To The Maples,10423
3000020,2019-09-12 09:31:29,34,To Downtown,30509
2998716,2019-09-11 07:54:13,34,To Downtown,30467
2998357,2019-09-10 16:15:34,34,To The Maples,10414
2997659,2019-09-10 07:55:31,34,To Downtown,30491
2996713,2019-09-09 07:55:30,34,To Downtown,30448
2994055,2019-09-05 16:17:45,34,To The Maples,10423
2993301,2019-09-05 07:57:25,34,To Downtown,30467
2924250,2019-06-18 17:03:28,34,To The Maples,10417
2866604,2019-04-09 08:13:38,34,To Downtown,30467
2852574,2019-03-19 16:26:45,34,To The Maples,10423
2845277,2019-03-06 16:29:02,34,To The Maples,10423
2832620,2019-02-07 16:34:50,34,To The Maples,10414
2831582,2019-02-05 17:05:08,34,To The Maples,10529
2824805,2019-01-17 16:30:40,34,To The Maples,10423
2799663,2018-11-29 08:13:22,34,To Downtown,10422
2785573,2018-11-08 08:08:29,34,To Downtown,10789
2783494,2018-11-05 16:28:29,34,To The Maples,10423
2783484,2018-11-05 16:24:06,34,To The Maples,10535
2771273,2018-10-23 08:02:25,34,To Downtown,10295
2764801,2018-10-16 07:54:21,34,To Downtown,30476
2753433,2018-10-01 16:35:53,34,To The Maples,10303
2753425,2018-10-01 16:29:59,34,To The Maples,10423
2753424,2018-10-01 16:29:54,34,To The Maples,10423
2749265,2018-09-27 08:02:40,34,To Downtown,10302
2748033,2018-09-26 07:54:24,34,To Downtown,30491
2746876,2018-09-25 07:54:14,34,To Downtown,30491
2746533,2018-09-24 16:05:24,34,To The Maples,10414
2743324,2018-09-20 16:06:55,34,To The Maples,10295
2742352,2018-09-20 07:58:22,34,To Downtown,10302
2741225,2018-09-19 08:35:27,34,To Downtown,30491
2741158,2018-09-19 07:55:17,34,To Downtown,30500
2739906,2018-09-18 08:06:45,34,To Downtown,10422
2732765,2018-09-11 07:54:52,34,To Downtown,30467
2731474,2018-09-10 07:53:36,34,To Downtown,30448
2726796,2018-09-05 07:57:29,34,To Downtown,30500
2625467,2018-05-16 16:57:41,34,To The Maples,10414
2593622,2018-04-05 16:49:05,34,To The Maples,10436
2584646,2018-03-21 16:50:49,34,To The Maples,10707
2579911,2018-03-14 16:56:59,34,To The Maples,10297
2575224,2018-03-06 16:27:49,34,To The Maples,10528
2574735,2018-03-05 08:16:13,34,To Downtown,30509
2561459,2018-02-07 16:29:48,34,To The Maples,10422
2561452,2018-02-07 16:25:50,34,To The Maples,10533
2558430,2018-02-01 07:27:55,34,To Downtown,30754
2552903,2018-01-22 07:54:23,34,To Downtown,30467
2546250,2018-01-09 08:07:07,34,To Downtown,10422
2527919,2017-11-30 16:14:57,34,To The Maples,10303
2522707,2017-11-23 16:18:35,34,To The Maples,30500
2519707,2017-11-20 08:07:45,34,To Downtown,10422
2510862,2017-11-06 08:10:07,34,To Downtown,10426
2493669,2017-10-17 16:09:24,34,To The Maples,10417
2479290,2017-10-02 16:24:57,34,To The Maples,10436
2478611,2017-10-02 07:57:44,34,To Downtown,30467
2472930,2017-09-27 07:51:11,34,To Downtown,30510
2465590,2017-09-20 07:57:14,34,To Downtown,30467
2458831,2017-09-13 07:55:11,34,To Downtown,30467
2453317,2017-09-08 07:54:40,34,To Downtown,30476
2452041,2017-09-07 09:23:26,34,To Downtown,30439
2341201,2017-05-17 09:19:07,34,To Downtown,30588
2321316,2017-04-26 16:42:51,34,To The Maples,10423
2297582,2017-03-30 16:01:44,34,To The Maples,10423
2291184,2017-03-22 16:51:49,34,To The Maples,10414
2289543,2017-03-20 16:26:08,34,To The Maples,10533
2285148,2017-03-14 15:59:48,34,To The Maples,10436
2278712,2017-03-02 15:55:55,34,To The Maples,10533
2277983,2017-03-01 16:01:00,34,To The Maples,10417
2276583,2017-02-28 07:43:30,34,To Downtown,10426
2269963,2017-02-16 15:59:42,34,To The Maples,10436
2268638,2017-02-14 16:00:03,34,To The Maples,10422
2260870,2017-01-30 16:28:30,34,To The Maples,10533
2257979,2017-01-25 16:22:40,34,To The Maples,10707
2257289,2017-01-24 16:17:06,34,To The Maples,10706
2252377,2017-01-16 16:23:52,34,To The Maples,10707
2238805,2016-12-07 16:26:32,34,To The Maples,10303
2237812,2016-12-05 16:06:15,34,To The Maples,10303
2234298,2016-11-30 16:09:13,34,To The Maples,10417
2228046,2016-11-23 16:00:49,34,To The Maples,10533
2227161,2016-11-22 16:06:37,34,To The Maples,10302
2226216,2016-11-21 15:57:41,34,To The Maples,10422
2223015,2016-11-17 16:08:52,34,To The Maples,10303
2221987,2016-11-16 16:03:50,34,To The Maples,10303
2221068,2016-11-15 16:00:01,34,To The Maples,10422
2217123,2016-11-10 16:30:43,34,To The Maples,10423
2214733,2016-11-08 16:03:21,34,To The Maples,10789
2213729,2016-11-07 16:05:55,34,To The Maples,10303
2209244,2016-11-02 16:04:04,34,To The Maples,10423
2208264,2016-11-01 16:00:48,34,To The Maples,10423
2203534,2016-10-27 16:03:03,34,To The Maples,10417
2200273,2016-10-24 16:06:20,34,To The Maples,10295
2196782,2016-10-20 16:06:07,34,To The Maples,10303
2194492,2016-10-18 16:04:20,34,To The Maples,10414
2183852,2016-10-05 16:40:23,34,To The Maples,10706
2182514,2016-10-04 16:09:05,34,To The Maples,10303
2174543,2016-09-28 07:42:16,34,To Downtown,10422
2174540,2016-09-28 07:40:42,34,To Downtown,10789
2174534,2016-09-28 07:33:20,34,To Downtown,30491
2174216,2016-09-27 16:13:21,34,To The Maples,30467
