Pass-Up ID,Time,Route Number,Route Destination,stop_id
3559892,2022-12-22 16:54:43,16,To Plaza Dr via St. Amant,10596
3554489,2022-12-08 16:29:55,16,Via Manitoba,30094
3544933,2022-11-17 16:30:42,16,To Island Lakes,10599
3544206,2022-11-16 09:41:42,16,Via Manitoba,50788
3525087,2022-10-19 15:40:30,16,Via Manitoba,10065
3520238,2022-10-13 09:34:25,16,To Plaza Dr via St. Amant,10631
3519886,2022-10-12 16:38:31,16,Via Burrows,10631
3515367,2022-10-07 07:51:48,16,Via Manitoba,50657
3509372,2022-09-30 13:00:18,16,To Island Lakes,30096
3507784,2022-09-28 16:47:00,16,Via Burrows,10632
3501158,2022-09-21 08:59:50,16,Via Manitoba,50925
3495715,2022-09-14 09:02:39,16,Via Manitoba,50786
3493607,2022-09-12 08:32:44,16,To Island Lakes,30666
