Time,Passup
2022-12-30,1
2022-12-29,0
2022-12-28,0
2022-12-27,0
2022-12-26,38
2022-12-25,0
2022-12-24,0
2022-12-23,4
2022-12-22,4
2022-12-21,7
2022-12-20,3
2022-12-19,3
2022-12-18,4
2022-12-17,0
2022-12-16,5
2022-12-15,2
2022-12-14,2
2022-12-13,0
2022-12-12,1
2022-12-11,5
2022-12-10,3
2022-12-09,1
2022-12-08,7
2022-12-07,0
2022-12-06,4
2022-12-05,1
2022-12-04,9
2022-12-03,3
2022-12-02,3
2022-12-01,1
2022-11-30,2
2022-11-29,0
2022-11-28,2
2022-11-27,4
2022-11-26,4
2022-11-25,12
2022-11-24,0
2022-11-23,5
2022-11-22,6
2022-11-21,2
2022-11-20,7
2022-11-19,1
2022-11-18,8
2022-11-17,4
2022-11-16,0
2022-11-15,3
2022-11-14,0
2022-11-13,9
2022-11-12,2
2022-11-11,17
2022-11-10,1
2022-11-09,4
2022-11-08,4
2022-11-07,1
2022-11-06,5
2022-11-05,2
2022-11-04,2
2022-11-03,4
2022-11-02,3
2022-11-01,2
2022-10-31,3
2022-10-30,18
2022-10-29,6
2022-10-28,2
2022-10-27,1
2022-10-26,1
2022-10-25,2
2022-10-24,3
2022-10-23,4
2022-10-22,1
2022-10-21,8
2022-10-20,3
2022-10-19,2
2022-10-18,2
2022-10-17,0
2022-10-16,5
2022-10-15,4
2022-10-14,4
2022-10-13,1
2022-10-12,1
2022-10-11,0
2022-10-10,2
2022-10-09,3
2022-10-08,4
2022-10-07,1
2022-10-06,2
2022-10-05,3
2022-10-04,3
2022-10-03,3
2022-10-02,4
2022-10-01,5
2022-09-30,0
2022-09-29,3
2022-09-28,4
2022-09-27,5
2022-09-26,2
2022-09-25,7
2022-09-24,6
2022-09-23,1
2022-09-22,6
2022-09-21,0
2022-09-20,6
2022-09-19,0
2022-09-18,10
2022-09-17,2
2022-09-16,3
2022-09-15,3
2022-09-14,2
2022-09-13,4
2022-09-12,9
2022-09-11,7
2022-09-10,5
2022-09-09,3
2022-09-08,5
2022-09-07,5
2022-09-06,2
2022-09-05,2
2022-09-04,2
2022-09-03,2
2022-09-02,0
2022-09-01,0
2022-08-31,0
2022-08-30,2
2022-08-29,0
2022-08-28,13
2022-08-27,1
2022-08-26,3
2022-08-25,2
2022-08-24,0
2022-08-23,1
2022-08-22,0
2022-08-21,30
2022-08-20,1
2022-08-19,3
2022-08-18,0
2022-08-17,1
2022-08-16,2
2022-08-15,1
2022-08-14,15
2022-08-13,0
2022-08-12,0
2022-08-11,1
2022-08-10,0
2022-08-09,0
2022-08-08,0
2022-08-07,17
2022-08-06,0
2022-08-05,1
2022-08-04,2
2022-08-03,1
2022-08-02,0
2022-08-01,8
2022-07-31,10
2022-07-30,1
2022-07-29,0
2022-07-28,0
2022-07-27,0
2022-07-26,0
2022-07-25,0
2022-07-24,21
2022-07-23,1
2022-07-22,2
2022-07-21,1
2022-07-20,2
2022-07-19,0
2022-07-18,1
2022-07-17,10
2022-07-16,1
2022-07-15,1
2022-07-14,1
2022-07-13,0
2022-07-12,0
2022-07-11,0
2022-07-10,16
2022-07-09,1
2022-07-08,2
2022-07-07,1
2022-07-06,1
2022-07-05,0
2022-07-04,0
2022-07-03,9
2022-07-02,1
2022-07-01,6
2022-06-30,3
2022-06-29,0
2022-06-28,3
2022-06-27,0
2022-06-26,10
2022-06-25,0
2022-06-24,0
2022-06-23,1
2022-06-22,0
2022-06-21,0
2022-06-20,0
2022-06-19,6
2022-06-18,1
2022-06-17,0
2022-06-16,1
2022-06-15,1
2022-06-14,0
2022-06-13,1
2022-06-12,1
2022-06-11,2
2022-06-10,2
2022-06-09,0
2022-06-08,2
2022-06-07,0
2022-06-06,1
2022-06-05,19
2022-06-04,1
2022-06-03,1
2022-06-02,0
2022-06-01,0
2022-05-31,1
2022-05-30,0
2022-05-29,7
2022-05-28,1
2022-05-27,1
2022-05-26,0
2022-05-25,0
2022-05-24,0
2022-05-23,7
2022-05-22,19
2022-05-21,1
2022-05-20,0
2022-05-19,0
2022-05-18,0
2022-05-17,0
2022-05-16,0
2022-05-15,6
2022-05-14,1
2022-05-13,0
2022-05-12,0
2022-05-11,0
2022-05-10,0
2022-05-09,0
2022-05-08,11
2022-05-07,1
2022-05-06,0
2022-05-05,0
2022-05-04,0
2022-05-03,0
2022-05-02,0
2022-05-01,6
2022-04-30,0
2022-04-29,0
2022-04-28,0
2022-04-27,0
2022-04-26,0
2022-04-25,0
2022-04-24,0
2022-04-23,0
2022-04-22,0
2022-04-21,0
2022-04-20,0
2022-04-19,0
2022-04-18,0
2022-04-17,1
2022-04-16,0
2022-04-15,9
2022-04-14,0
2022-04-13,0
2022-04-12,0
2022-04-11,0
2022-04-10,2
2022-04-09,2
2022-04-08,0
2022-04-07,1
2022-04-06,0
2022-04-05,1
2022-04-04,0
2022-04-03,8
2022-04-02,0
2022-04-01,0
2022-03-31,0
2022-03-30,0
2022-03-29,0
2022-03-28,0
2022-03-27,5
2022-03-26,0
2022-03-25,0
2022-03-24,0
2022-03-23,0
2022-03-22,0
2022-03-21,0
2022-03-20,14
2022-03-19,4
2022-03-18,2
2022-03-17,0
2022-03-16,2
2022-03-15,1
2022-03-14,0
2022-03-13,4
2022-03-12,0
2022-03-11,0
2022-03-10,0
2022-03-09,0
2022-03-08,0
2022-03-07,0
2022-03-06,7
2022-03-05,2
2022-03-04,0
2022-03-03,0
2022-03-02,0
2022-03-01,1
2022-02-28,0
2022-02-27,0
2022-02-26,0
2022-02-25,2
2022-02-24,0
2022-02-23,0
2022-02-22,1
2022-02-21,1
2022-02-20,2
2022-02-19,0
2022-02-18,0
2022-02-17,0
2022-02-16,1
2022-02-15,1
2022-02-14,0
2022-02-13,1
2022-02-12,0
2022-02-11,1
2022-02-10,1
2022-02-09,0
2022-02-08,0
