Time,Passup
2022-12-27,1
2022-12-26,2
2022-12-25,0
2022-12-24,0
2022-12-23,0
2022-12-22,0
2022-12-21,0
2022-12-20,0
2022-12-19,0
2022-12-18,0
2022-12-17,0
2022-12-16,0
2022-12-15,0
2022-12-14,0
2022-12-13,0
2022-12-12,0
2022-12-11,0
2022-12-10,0
2022-12-09,0
2022-12-08,0
2022-12-07,0
2022-12-06,0
2022-12-05,0
2022-12-04,0
2022-12-03,0
2022-12-02,0
2022-12-01,0
2022-11-30,0
2022-11-29,0
2022-11-28,0
2022-11-27,1
2022-11-26,1
2022-11-25,0
2022-11-24,1
2022-11-23,0
2022-11-22,0
2022-11-21,0
2022-11-20,0
2022-11-19,0
2022-11-18,0
2022-11-17,0
2022-11-16,0
2022-11-15,1
2022-11-14,0
2022-11-13,0
2022-11-12,0
2022-11-11,0
2022-11-10,0
2022-11-09,0
2022-11-08,0
2022-11-07,0
2022-11-06,0
2022-11-05,0
2022-11-04,0
2022-11-03,0
2022-11-02,1
2022-11-01,1
2022-10-31,0
2022-10-30,0
2022-10-29,0
2022-10-28,0
2022-10-27,1
2022-10-26,0
2022-10-25,3
2022-10-24,1
2022-10-23,0
2022-10-22,0
2022-10-21,0
2022-10-20,1
2022-10-19,0
2022-10-18,2
2022-10-17,1
2022-10-16,0
2022-10-15,0
2022-10-14,1
2022-10-13,1
2022-10-12,0
2022-10-11,5
2022-10-10,0
2022-10-09,0
2022-10-08,0
2022-10-07,0
2022-10-06,3
2022-10-05,1
2022-10-04,1
2022-10-03,1
2022-10-02,0
2022-10-01,0
2022-09-30,0
2022-09-29,2
2022-09-28,0
2022-09-27,2
2022-09-26,0
2022-09-25,0
2022-09-24,0
2022-09-23,0
2022-09-22,2
2022-09-21,2
2022-09-20,2
2022-09-19,0
2022-09-18,0
2022-09-17,0
2022-09-16,0
2022-09-15,2
2022-09-14,1
2022-09-13,1
2022-09-12,0
2022-09-11,0
2022-09-10,0
2022-09-09,1
2022-09-08,3
2022-09-07,1
